1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,class
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,FALSE
A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,A,A,A,A,A,A,FALSE
A,A,A,A,A,A,C,B,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
A,A,A,A,A,A,C,B,A,A,A,A,A,A,A,A,B,A,B,A,A,FALSE
A,A,A,A,A,A,C,B,A,A,B,A,A,B,A,A,B,A,B,A,A,FALSE
A,A,A,A,A,A,C,B,A,A,B,A,C,A,A,A,B,A,B,A,A,FALSE
A,A,A,A,A,A,C,B,A,A,B,A,C,B,A,A,B,A,B,A,A,FALSE
A,A,A,A,A,A,C,B,A,B,B,B,A,A,A,A,B,A,B,A,A,FALSE
A,A,A,A,A,A,C,B,B,A,B,A,C,C,A,A,B,A,B,A,A,FALSE
A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
A,A,A,A,A,A,D,A,A,A,A,A,A,B,A,A,A,A,B,A,A,FALSE
A,A,A,A,A,A,D,A,A,A,A,A,A,B,B,A,A,A,B,A,A,FALSE
A,A,A,A,A,A,D,A,A,A,A,A,C,A,A,A,A,A,B,A,A,FALSE
A,A,A,A,A,A,D,A,A,A,A,A,C,A,A,A,B,A,B,A,A,FALSE
A,A,A,A,A,A,D,A,A,A,A,A,C,B,A,A,A,A,B,A,A,FALSE
A,A,A,A,A,A,D,A,A,A,A,A,C,B,A,A,B,A,B,A,A,FALSE
A,A,A,A,A,A,D,A,A,A,A,A,C,C,A,A,A,A,B,A,A,FALSE
A,A,A,A,A,A,D,A,A,A,A,A,C,C,A,A,B,A,B,A,A,FALSE
A,A,A,A,A,A,D,A,A,A,B,A,C,A,A,A,B,B,B,A,A,FALSE
A,A,A,A,A,A,D,A,A,A,D,A,C,B,A,C,A,A,A,A,A,TRUE
A,A,A,A,A,A,D,A,A,A,D,A,C,B,A,D,A,A,B,A,A,FALSE
A,A,A,A,A,A,D,A,B,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
A,A,A,A,A,A,D,A,B,A,B,A,C,A,A,A,B,A,B,A,A,FALSE
A,A,A,A,A,A,D,A,C,A,A,A,A,A,A,A,A,A,B,B,A,FALSE
A,A,A,A,A,A,D,A,C,A,B,A,A,A,A,A,A,B,B,A,A,FALSE
A,A,A,A,B,A,C,B,A,B,B,B,A,A,A,A,B,A,B,A,A,FALSE
A,A,A,A,B,A,C,B,A,B,B,B,A,B,A,A,B,A,B,A,A,FALSE
A,A,A,A,B,A,C,B,A,B,B,B,C,B,A,A,B,A,B,B,A,FALSE
A,A,A,A,B,A,D,A,C,A,B,A,A,A,A,A,A,B,B,B,A,FALSE
A,A,A,A,B,B,A,C,B,C,B,C,A,B,A,A,B,B,D,B,A,FALSE
A,A,A,A,B,B,B,C,B,B,B,B,A,B,A,A,B,B,B,B,A,FALSE
A,A,A,A,B,B,B,C,B,B,B,B,A,B,A,A,B,B,D,B,A,FALSE
A,A,A,A,B,B,B,C,B,C,B,C,A,B,B,A,B,B,B,B,A,FALSE
A,A,A,A,B,B,C,B,A,B,B,B,A,A,A,A,B,A,B,B,A,FALSE
A,A,A,A,B,B,C,B,A,B,B,B,A,B,A,A,B,A,B,B,A,FALSE
