14,6,11,19,7,5,10,3,2,8,21,20,13,15,16,12,1,17,9,18,4,class
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,FALSE
C,A,A,A,A,A,A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,FALSE
A,A,A,B,C,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,FALSE
A,A,A,B,C,A,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,FALSE
B,A,B,B,C,A,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,FALSE
A,A,B,B,C,A,A,A,A,B,A,A,C,A,A,A,A,B,A,A,A,FALSE
B,A,B,B,C,A,A,A,A,B,A,A,C,A,A,A,A,B,A,A,A,FALSE
A,A,B,B,C,A,B,A,A,B,A,A,A,A,A,B,A,B,A,A,A,FALSE
C,A,B,B,C,A,A,A,A,B,A,A,C,A,A,A,A,B,B,A,A,FALSE
A,A,A,B,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,FALSE
B,A,A,B,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,FALSE
B,A,A,B,D,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,FALSE
A,A,A,B,D,A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,A,FALSE
A,A,A,B,D,A,A,A,A,A,A,A,C,A,A,A,A,B,A,A,A,FALSE
B,A,A,B,D,A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,A,FALSE
B,A,A,B,D,A,A,A,A,A,A,A,C,A,A,A,A,B,A,A,A,FALSE
C,A,A,B,D,A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,A,FALSE
C,A,A,B,D,A,A,A,A,A,A,A,C,A,A,A,A,B,A,A,A,FALSE
A,A,B,B,D,A,A,A,A,A,A,A,C,A,A,A,A,B,A,B,A,FALSE
B,A,D,A,D,A,A,A,A,A,A,A,C,A,C,A,A,A,A,A,A,TRUE
B,A,D,B,D,A,A,A,A,A,A,A,C,A,D,A,A,A,A,A,A,FALSE
A,A,A,B,D,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,FALSE
A,A,B,B,D,A,A,A,A,A,A,A,C,A,A,A,A,B,B,A,A,FALSE
A,A,A,B,D,A,A,A,A,A,A,B,A,A,A,A,A,A,C,A,A,FALSE
A,A,B,B,D,A,A,A,A,A,A,A,A,A,A,A,A,A,C,B,A,FALSE
A,A,B,B,C,B,B,A,A,B,A,A,A,A,A,B,A,B,A,A,A,FALSE
B,A,B,B,C,B,B,A,A,B,A,A,A,A,A,B,A,B,A,A,A,FALSE
B,A,B,B,C,B,B,A,A,B,A,B,C,A,A,B,A,B,A,A,A,FALSE
A,A,B,B,D,B,A,A,A,A,A,B,A,A,A,A,A,A,C,B,A,FALSE
B,B,B,D,A,B,C,A,A,C,A,B,A,A,A,C,A,B,B,B,A,FALSE
B,B,B,B,B,B,B,A,A,C,A,B,A,A,A,B,A,B,B,B,A,FALSE
B,B,B,D,B,B,B,A,A,C,A,B,A,A,A,B,A,B,B,B,A,FALSE
B,B,B,B,B,B,C,A,A,C,A,B,A,B,A,C,A,B,B,B,A,FALSE
