9,8,7,13,15,14,18,2,6,20,11,4,19,17,10,12,21,5,1,16,3,class
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,FALSE
A,A,A,A,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,FALSE
A,B,C,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,FALSE
A,B,C,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,FALSE
A,B,C,A,A,B,A,A,A,A,B,A,B,B,A,A,A,A,A,A,A,FALSE
A,B,C,C,A,A,A,A,A,A,B,A,B,B,A,A,A,A,A,A,A,FALSE
A,B,C,C,A,B,A,A,A,A,B,A,B,B,A,A,A,A,A,A,A,FALSE
A,B,C,A,A,A,A,A,A,A,B,A,B,B,B,B,A,A,A,A,A,FALSE
B,B,C,C,A,C,A,A,A,A,B,A,B,B,A,A,A,A,A,A,A,FALSE
A,A,D,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,FALSE
A,A,D,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,FALSE
A,A,D,A,B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,FALSE
A,A,D,C,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,FALSE
A,A,D,C,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,FALSE
A,A,D,C,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,FALSE
A,A,D,C,A,B,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,FALSE
A,A,D,C,A,C,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,FALSE
A,A,D,C,A,C,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,FALSE
A,A,D,C,A,A,B,A,A,A,B,A,B,B,A,A,A,A,A,A,A,FALSE
A,A,D,C,A,B,A,A,A,A,D,A,A,A,A,A,A,A,A,C,A,TRUE
A,A,D,C,A,B,A,A,A,A,D,A,B,A,A,A,A,A,A,D,A,FALSE
B,A,D,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,FALSE
B,A,D,C,A,A,A,A,A,A,B,A,B,B,A,A,A,A,A,A,A,FALSE
C,A,D,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,FALSE
C,A,D,A,A,A,B,A,A,A,B,A,B,A,A,A,A,A,A,A,A,FALSE
A,B,C,A,A,A,A,A,A,A,B,A,B,B,B,B,A,B,A,A,A,FALSE
A,B,C,A,A,B,A,A,A,A,B,A,B,B,B,B,A,B,A,A,A,FALSE
A,B,C,C,A,B,A,A,A,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
C,A,D,A,A,A,B,A,A,B,B,A,B,A,A,A,A,B,A,A,A,FALSE
B,C,A,A,A,B,B,A,B,B,B,A,D,B,C,C,A,B,A,A,A,FALSE
B,C,B,A,A,B,B,A,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
B,C,B,A,A,B,B,A,B,B,B,A,D,B,B,B,A,B,A,A,A,FALSE
B,C,B,A,B,B,B,A,B,B,B,A,B,B,C,C,A,B,A,A,A,FALSE
A,B,C,A,A,A,A,A,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
A,B,C,A,A,B,A,A,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
A,B,C,C,A,B,A,A,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
A,B,C,C,A,B,B,A,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
B,B,C,A,A,A,B,A,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
B,B,C,A,A,A,B,A,B,B,B,A,B,B,B,B,A,B,A,A,A,TRUE
B,B,C,A,A,B,A,A,B,B,B,A,B,A,B,B,A,B,A,A,A,FALSE
B,B,C,A,A,B,B,A,B,B,B,A,B,A,B,B,A,B,A,A,A,FALSE
B,B,C,A,A,B,B,A,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
B,B,C,A,B,B,B,A,B,B,B,A,B,B,B,B,A,B,A,A,A,TRUE
B,B,C,A,B,C,B,A,B,B,B,A,B,B,B,B,A,B,A,A,A,TRUE
B,B,C,C,A,A,B,A,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
B,B,C,C,A,B,B,A,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
B,B,C,C,B,B,B,A,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
B,B,C,D,A,A,B,A,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
C,B,C,A,A,A,B,A,B,B,B,A,B,A,B,B,A,B,A,A,A,FALSE
C,B,C,A,B,A,B,A,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
C,B,C,C,B,C,B,A,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
B,A,D,A,A,A,B,A,B,B,B,A,B,A,B,B,A,B,A,A,A,FALSE
C,A,D,A,A,A,B,A,B,B,B,A,B,A,A,A,A,B,A,A,A,FALSE
C,A,D,A,A,A,B,A,B,B,B,A,B,A,B,B,A,B,A,A,A,FALSE
C,A,D,A,A,C,B,A,B,B,B,A,B,A,B,B,A,B,A,A,A,FALSE
A,B,C,C,A,B,A,B,A,A,B,A,B,B,A,A,A,A,A,A,A,FALSE
A,A,D,A,A,C,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,FALSE
A,A,D,C,A,B,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,FALSE
B,A,D,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,FALSE
A,B,C,A,A,A,A,B,A,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
A,B,C,A,A,B,A,B,A,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
A,C,B,A,A,A,A,B,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
A,C,B,A,A,A,B,B,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
A,C,B,A,B,A,B,B,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
A,C,B,C,A,B,A,B,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
A,C,B,C,A,B,B,B,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
B,C,B,C,A,A,B,B,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
C,C,B,D,C,C,B,B,B,B,B,A,D,B,C,C,A,B,A,A,A,FALSE
A,B,C,A,A,B,B,B,B,A,B,A,B,B,B,B,A,B,A,A,A,FALSE
A,B,C,A,B,C,B,B,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
A,B,C,C,A,A,A,B,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
A,B,C,C,A,B,A,B,B,A,B,A,B,B,B,B,A,B,A,A,A,FALSE
A,B,C,C,A,B,B,B,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
B,B,C,A,A,A,B,B,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
B,B,C,A,A,B,B,B,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
B,B,C,A,B,B,B,B,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
B,B,C,C,A,A,B,B,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
B,B,C,C,A,B,B,B,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
B,B,C,C,A,C,B,B,B,B,B,A,B,B,B,B,A,B,A,A,A,TRUE
B,B,C,C,B,C,B,B,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
B,B,C,D,C,B,B,B,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
B,B,C,D,A,C,B,B,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
C,B,C,A,A,A,B,B,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
C,B,C,A,B,A,B,B,B,B,B,A,B,B,B,B,A,B,A,A,A,FALSE
A,B,C,A,A,A,A,B,A,A,B,B,B,B,B,B,A,A,A,A,A,FALSE
A,B,C,A,B,A,A,B,A,A,B,B,B,B,B,B,A,A,A,A,A,FALSE
B,A,D,A,A,A,A,B,A,A,A,B,B,A,A,A,A,A,A,A,A,FALSE
A,B,C,A,A,B,B,B,A,B,B,B,B,B,B,B,A,B,A,A,A,FALSE
B,C,B,A,C,C,B,B,B,B,B,B,B,C,C,C,A,B,A,A,A,TRUE
A,B,C,C,A,C,A,B,B,A,B,B,B,B,B,B,A,B,A,A,A,FALSE
A,B,C,C,A,C,B,B,B,B,B,B,B,B,B,B,A,B,A,A,A,FALSE
B,B,C,A,A,A,B,B,B,B,B,B,B,B,B,B,A,B,A,A,A,FALSE
B,B,C,A,A,B,B,B,B,B,B,B,B,B,B,B,A,B,A,A,A,FALSE
B,B,C,A,A,C,B,B,B,B,B,B,B,B,B,B,A,B,A,A,A,FALSE
B,B,C,C,A,B,A,B,B,A,B,B,B,B,B,B,A,B,A,A,A,FALSE
C,B,C,C,A,A,C,B,B,C,B,B,B,B,B,B,A,B,A,A,A,FALSE
B,C,A,D,B,C,B,C,B,B,B,A,B,B,C,C,C,B,A,A,A,FALSE
A,C,B,A,A,A,A,C,B,B,B,A,B,B,B,B,C,B,A,A,A,FALSE
A,C,B,A,A,A,B,C,B,B,B,A,B,B,B,B,C,B,A,A,A,FALSE
B,C,B,D,C,B,B,C,B,B,B,A,B,B,C,C,C,B,A,A,A,FALSE
B,B,C,A,A,A,B,C,B,B,B,A,B,B,B,B,C,B,A,A,A,FALSE
B,C,A,C,A,B,B,C,B,B,B,B,D,C,C,C,C,B,A,A,A,FALSE
B,C,B,C,A,B,B,C,B,B,B,B,B,B,B,B,C,B,A,A,A,FALSE
B,C,B,C,C,C,B,C,B,B,B,B,B,B,B,B,C,B,A,A,A,FALSE
A,B,C,D,A,B,B,C,B,B,B,B,B,B,B,B,C,B,A,A,A,FALSE
C,B,C,C,B,C,B,C,B,B,B,B,B,B,B,B,C,B,A,A,A,FALSE
C,B,C,C,C,C,C,C,B,B,B,B,B,B,B,B,C,B,A,A,A,FALSE
B,C,B,D,C,C,B,C,B,B,B,B,D,B,C,C,C,C,A,A,A,FALSE
B,C,A,D,C,C,B,C,D,B,D,B,D,C,C,C,C,C,A,A,A,FALSE
A,C,B,A,A,A,A,C,B,B,B,C,B,B,B,B,C,B,A,A,A,FALSE
A,C,B,C,C,B,B,C,B,B,B,C,B,B,B,B,C,B,A,A,A,FALSE
B,C,B,C,A,A,B,C,B,B,B,C,B,B,B,B,C,B,A,A,A,FALSE
B,C,B,D,D,B,B,C,B,B,B,C,B,B,C,C,C,B,A,A,A,FALSE
C,C,B,C,C,B,C,C,B,B,B,C,D,B,C,C,C,B,A,A,A,FALSE
A,B,C,A,A,C,B,C,B,B,B,C,B,B,B,B,C,B,A,A,A,FALSE
B,B,C,C,A,A,B,C,B,B,B,C,B,B,B,B,C,B,A,A,A,TRUE
B,B,C,C,C,B,B,C,B,B,B,C,B,A,B,B,C,B,A,A,A,FALSE
B,B,C,C,C,C,B,C,B,B,B,C,B,B,B,B,C,B,A,A,A,FALSE
C,B,C,A,A,A,B,C,B,B,B,C,B,B,B,B,C,B,A,A,A,FALSE
C,B,C,C,C,C,B,C,B,B,B,C,B,B,B,B,C,B,A,A,A,FALSE
C,B,C,D,C,B,B,C,B,B,B,C,B,B,B,B,C,B,A,A,A,FALSE
B,C,A,C,C,B,C,C,D,C,D,C,D,B,C,C,C,C,A,A,A,FALSE
A,A,D,A,A,A,A,C,A,A,A,A,B,B,A,A,C,A,A,A,B,FALSE
A,B,C,A,A,A,A,C,A,A,B,A,B,B,B,B,C,B,A,A,B,FALSE
A,C,B,C,C,C,B,C,B,B,B,A,B,B,B,B,C,B,A,A,B,FALSE
A,C,B,C,A,B,B,C,B,B,B,A,B,B,C,C,C,B,A,A,B,FALSE
A,B,C,C,A,A,B,C,B,B,B,A,B,B,B,B,C,B,A,A,B,FALSE
B,B,C,A,A,A,A,C,B,B,B,A,B,B,B,B,C,B,A,A,B,FALSE
B,B,C,A,A,A,B,C,B,B,B,A,B,B,B,B,C,B,A,A,B,FALSE
B,C,A,A,A,B,B,C,D,B,D,A,D,B,C,C,C,C,A,A,B,FALSE
A,C,B,C,C,B,B,C,B,B,B,B,B,B,B,B,C,B,A,A,B,FALSE
B,C,B,C,A,A,B,C,B,B,B,B,B,B,B,B,C,B,A,A,B,FALSE
B,B,C,A,A,B,B,C,B,B,B,B,B,B,B,B,C,B,A,A,B,FALSE
B,C,A,C,A,C,B,C,D,B,D,B,D,C,C,C,C,C,A,A,B,FALSE
B,B,C,A,C,B,B,A,B,B,B,A,B,B,B,B,A,B,B,A,A,FALSE
C,B,C,C,A,B,C,A,B,B,B,A,D,B,B,B,A,B,B,A,A,FALSE
C,C,B,C,C,B,B,A,C,C,C,A,D,B,C,C,A,C,B,A,A,TRUE
C,C,B,C,C,C,C,A,D,B,D,A,D,B,C,C,A,C,B,A,A,FALSE
B,B,C,A,A,A,B,B,B,B,B,A,B,B,B,B,A,B,B,A,A,FALSE
C,B,C,A,A,B,B,B,B,B,B,B,B,B,B,B,A,B,B,A,A,FALSE
C,B,C,A,A,C,B,B,B,B,B,B,B,B,B,B,A,B,B,A,A,FALSE
C,B,C,A,A,C,B,B,B,B,B,B,D,B,B,B,A,B,B,A,A,FALSE
C,B,C,A,C,C,C,B,B,B,B,B,B,B,B,B,A,B,B,A,A,FALSE
B,C,A,D,A,B,B,B,B,B,B,B,D,B,C,C,A,C,B,A,A,FALSE
C,C,B,C,D,C,C,B,C,C,C,B,D,B,C,C,A,C,B,A,A,TRUE
B,C,A,C,C,C,B,B,D,C,D,B,D,B,C,C,A,C,B,A,A,FALSE
C,C,B,C,C,B,C,B,D,C,D,B,D,B,C,C,A,C,B,A,A,FALSE
A,C,A,A,A,A,B,C,B,B,B,A,B,B,C,C,C,B,B,A,A,FALSE
A,C,B,A,A,A,A,C,B,B,B,A,B,B,B,B,C,B,B,A,A,FALSE
C,C,B,A,B,C,B,C,B,B,B,A,D,B,C,C,C,B,B,A,A,FALSE
C,C,B,C,C,C,B,C,B,B,B,A,D,B,C,C,C,B,B,A,A,FALSE
B,B,C,A,A,A,B,C,B,B,B,A,B,B,B,B,B,B,B,A,A,FALSE
B,B,C,C,A,A,B,C,B,B,B,A,B,B,B,B,B,B,B,A,A,FALSE
C,B,C,A,A,C,C,C,B,B,B,A,B,B,B,B,C,B,B,A,A,FALSE
C,B,C,C,C,C,C,C,B,B,B,A,D,B,B,B,C,B,B,A,A,TRUE
C,C,B,A,C,C,C,C,D,C,D,A,D,B,C,C,C,C,B,A,A,FALSE
B,C,A,D,A,C,B,C,D,B,D,B,D,C,C,C,C,C,B,A,A,FALSE
C,D,A,D,C,B,C,C,D,C,D,B,D,C,D,D,C,C,B,A,A,FALSE
