@relation 'CM1_fix-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 11 {A,B,D,C}
@attribute 14 {A,C,B,D}
@attribute 19 {A,B,D,C}
@attribute 6 {A,B,D,C}
@attribute 18 {A,B,C,D}
@attribute 17 {A,B,C,D}
@attribute 1 {A,B,C,D}
@attribute 9 {A,B,C,D}
@attribute 5 {A,B,C,D}
@attribute 20 {A,B,C,D}
@attribute 4 {A,B,C,D}
@attribute 10 {A,B,C,D}
@attribute 12 {A,B,C,D}
@attribute 15 {A,C,B,D}
@attribute 16 {A,C,D}
@attribute 21 {A,C,B,D}
@attribute 2 {A,B,C,D}
@attribute 8 {A,B,C,D}
@attribute 7 {A,C,D,B}
@attribute 13 {A,C,D}
@attribute 3 {A,B,D}
@attribute class {FALSE,TRUE}

@data
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,FALSE
A,C,A,A,A,A,A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,FALSE
A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,C,A,A,FALSE
A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,C,A,A,FALSE
B,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,C,A,A,FALSE
B,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,C,C,A,FALSE
B,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,C,C,A,FALSE
B,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,A,B,C,A,A,FALSE
B,C,B,A,A,B,A,B,A,A,A,A,A,A,A,A,A,B,C,C,A,FALSE
A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,A,A,FALSE
A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,A,A,FALSE
A,B,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,A,A,FALSE
A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,C,A,FALSE
A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,D,C,A,FALSE
A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,C,A,FALSE
A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,D,C,A,FALSE
A,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,C,A,FALSE
A,C,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,D,C,A,FALSE
B,A,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,D,C,A,FALSE
D,B,A,A,A,A,A,A,A,A,A,A,A,A,C,A,A,A,D,C,A,TRUE
D,B,B,A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,D,C,A,FALSE
A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,D,A,A,FALSE
B,A,B,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,D,C,A,FALSE
A,A,B,A,A,A,A,C,A,B,A,A,A,A,A,A,A,A,D,A,A,FALSE
B,A,B,A,B,A,A,C,A,A,A,A,A,A,A,A,A,A,D,A,A,FALSE
B,A,B,A,A,B,A,A,B,A,A,B,B,A,A,A,A,B,C,A,A,FALSE
B,B,B,A,A,B,A,A,B,A,A,B,B,A,A,A,A,B,C,A,A,FALSE
B,B,B,A,A,B,A,A,B,B,A,B,B,A,A,A,A,B,C,C,A,FALSE
B,A,B,A,B,A,A,C,B,B,A,A,A,A,A,A,A,A,D,A,A,FALSE
B,B,D,B,B,B,A,B,B,B,A,C,C,A,A,A,A,C,A,A,A,FALSE
B,B,B,B,B,B,A,B,B,B,A,B,B,A,A,A,A,C,B,A,A,FALSE
B,B,D,B,B,B,A,B,B,B,A,B,B,A,A,A,A,C,B,A,A,FALSE
B,B,B,B,B,B,A,B,B,B,A,C,C,B,A,A,A,C,B,A,A,FALSE
B,A,B,B,A,B,A,A,B,B,A,B,B,A,A,A,A,B,C,A,A,FALSE
B,B,B,B,A,B,A,A,B,B,A,B,B,A,A,A,A,B,C,A,A,FALSE
B,B,B,B,A,B,A,A,B,B,A,B,B,A,A,A,A,B,C,C,A,FALSE
B,B,B,B,B,B,A,A,B,B,A,B,B,A,A,A,A,B,C,C,A,FALSE
B,A,B,B,B,B,A,B,B,B,A,B,B,A,A,A,A,B,C,A,A,FALSE
B,A,B,B,B,B,A,B,B,B,A,B,B,A,A,A,A,B,C,A,A,TRUE
B,B,B,B,A,A,A,B,B,B,A,B,B,A,A,A,A,B,C,A,A,FALSE
B,B,B,B,B,A,A,B,B,B,A,B,B,A,A,A,A,B,C,A,A,FALSE
B,B,B,B,B,B,A,B,B,B,A,B,B,A,A,A,A,B,C,A,A,FALSE
B,B,B,B,B,B,A,B,B,B,A,B,B,B,A,A,A,B,C,A,A,TRUE
B,C,B,B,B,B,A,B,B,B,A,B,B,B,A,A,A,B,C,A,A,TRUE
B,A,B,B,B,B,A,B,B,B,A,B,B,A,A,A,A,B,C,C,A,FALSE
B,B,B,B,B,B,A,B,B,B,A,B,B,A,A,A,A,B,C,C,A,FALSE
B,B,B,B,B,B,A,B,B,B,A,B,B,B,A,A,A,B,C,C,A,FALSE
B,A,B,B,B,B,A,B,B,B,A,B,B,A,A,A,A,B,C,D,A,FALSE
B,A,B,B,B,A,A,C,B,B,A,B,B,A,A,A,A,B,C,A,A,FALSE
B,A,B,B,B,B,A,C,B,B,A,B,B,B,A,A,A,B,C,A,A,FALSE
B,C,B,B,B,B,A,C,B,B,A,B,B,B,A,A,A,B,C,C,A,FALSE
B,A,B,B,B,A,A,B,B,B,A,B,B,A,A,A,A,A,D,A,A,FALSE
B,A,B,B,B,A,A,C,B,B,A,A,A,A,A,A,A,A,D,A,A,FALSE
B,A,B,B,B,A,A,C,B,B,A,B,B,A,A,A,A,A,D,A,A,FALSE
B,C,B,B,B,A,A,C,B,B,A,B,B,A,A,A,A,A,D,A,A,FALSE
B,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,B,B,C,C,A,FALSE
A,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,A,A,FALSE
A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,C,A,FALSE
A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,B,A,D,A,A,FALSE
B,A,B,A,A,B,A,A,B,B,A,B,B,A,A,A,B,B,C,A,A,FALSE
B,B,B,A,A,B,A,A,B,B,A,B,B,A,A,A,B,B,C,A,A,FALSE
B,A,B,B,A,B,A,A,B,B,A,B,B,A,A,A,B,C,B,A,A,FALSE
B,A,B,B,B,B,A,A,B,B,A,B,B,A,A,A,B,C,B,A,A,FALSE
B,A,B,B,B,B,A,A,B,B,A,B,B,B,A,A,B,C,B,A,A,FALSE
B,B,B,B,A,B,A,A,B,B,A,B,B,A,A,A,B,C,B,C,A,FALSE
B,B,B,B,B,B,A,A,B,B,A,B,B,A,A,A,B,C,B,C,A,FALSE
B,A,B,B,B,B,A,B,B,B,A,B,B,A,A,A,B,C,B,C,A,FALSE
B,C,D,B,B,B,A,C,B,B,A,C,C,C,A,A,B,C,B,D,A,FALSE
B,B,B,B,B,B,A,A,B,A,A,B,B,A,A,A,B,B,C,A,A,FALSE
B,C,B,B,B,B,A,A,B,B,A,B,B,B,A,A,B,B,C,A,A,FALSE
B,A,B,B,A,B,A,A,B,B,A,B,B,A,A,A,B,B,C,C,A,FALSE
